"","BCAS1","HERC1","VTN","AREG","CISH","GRB14","RAP2C","INSIG2","FRAS1","SYNPO2L","MGAT5B","TMC7","MT1X","SESTD1","MT1M","RBPMS.AS1","LINC00052","LOO_ELPD","Sensitivity","Specificity","Accuracy","TP","TN","FP","FN","Current_ELPD","Acceptance"
"9191",2,3,6,12,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.5154185693402,0.6875,0.738738738738739,0.732283464566929,11,82,29,5,-71.4184660659916,NA
"9192",2,11,3,6,12,9,7,8,15,NA,NA,NA,NA,NA,NA,NA,NA,-74.3699895157033,0.5625,0.720720720720721,0.700787401574803,9,80,31,7,-71.4184660659916,NA
"9193",7,2,11,12,3,8,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.4204094641281,0.6875,0.738738738738739,0.732283464566929,11,82,29,5,-71.4184660659916,NA
"9194",2,11,3,6,12,9,7,8,15,NA,NA,NA,NA,NA,NA,NA,NA,-74.2971614579171,0.529411764705882,0.718181818181818,0.692913385826772,9,79,31,8,-71.4184660659916,NA
"9195",2,11,3,6,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.1857912961897,0.55,0.728971962616822,0.700787401574803,11,78,29,9,-71.4184660659916,NA
"9196",2,7,9,11,6,3,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.2625157951734,0.611111111111111,0.73394495412844,0.716535433070866,11,80,29,7,-71.4184660659916,NA
"9197",2,11,3,6,12,9,7,8,14,NA,NA,NA,NA,NA,NA,NA,NA,-71.9964179782369,0.8,0.75,0.755905511811024,12,84,28,3,-71.4184660659916,NA
"9198",2,11,3,6,12,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.5916394347104,0.631578947368421,0.740740740740741,0.724409448818898,12,80,28,7,-71.4184660659916,NA
"9199",2,11,3,12,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.9431861911302,0.611111111111111,0.73394495412844,0.716535433070866,11,80,29,7,-71.4184660659916,NA
"9200",3,8,6,11,12,2,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.478094673179,0.5625,0.720720720720721,0.700787401574803,9,80,31,7,-71.4184660659916,NA
"9201",2,3,6,12,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.4734152442646,0.684210526315789,0.75,0.740157480314961,13,81,27,6,-71.4184660659916,NA
"9202",3,12,7,6,11,8,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.0627899131889,0.647058823529412,0.736363636363636,0.724409448818898,11,81,29,6,-71.4184660659916,NA
"9203",2,11,3,6,12,9,7,8,5,NA,NA,NA,NA,NA,NA,NA,NA,-73.2720925893022,0.6875,0.738738738738739,0.732283464566929,11,82,29,5,-71.4184660659916,NA
"9204",2,11,3,6,12,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.0030816872031,0.631578947368421,0.740740740740741,0.724409448818898,12,80,28,7,-71.4184660659916,NA
"9205",2,11,3,6,12,9,7,8,10,NA,NA,NA,NA,NA,NA,NA,NA,-72.7167837831731,0.555555555555556,0.724770642201835,0.700787401574803,10,79,30,8,-71.4184660659916,NA
